002348	Sagemcom
002351	Pace
002354	ASUS
00235d	Cisco
00235e	Cisco
002363	Huawei
002369	Cisco
00236c	Apple
002374	CommScope
002375	CommScope
002395	CommScope
002399	Samsung
00239c	Juniper
0023a2	CommScope
0023a3	CommScope
0023ab	Cisco
0023ac	Cisco
0023af	CommScope
0023b4	Nokia
0023be	Cisco
0023c2	Samsung
0023cd	TP-Link
0023d6	Samsung
0023d7	Samsung
0023df	Apple
0023ea	Cisco
0023eb	Cisco
0023ed	CommScope
0023ee	CommScope
0023f1	Sony
0023f8	Zyxel
002401	D-Link
002403	Nokia
002404	Nokia
002413	Cisco
002414	Cisco
002417	Technicolor
002436	Apple
002445	Adtran
002450	Cisco
002451	Cisco
002454	Samsung
002456	Pace
00247b	Actiontec
00247c	Nokia
00247d	Nokia
002482	Ruckus
002483	LG
00248c	ASUS
00248d	Sony
002490	Samsung
002491	Samsung
002493	CommScope
002495	CommScope
002497	Cisco
002498	Cisco
0024a0	CommScope
0024a1	CommScope
0024b2	Netgear
0024be	Sony
0024c1	CommScope
0024c3	Cisco
0024c4	Cisco
0024d1	Technicolor
0024d6	Intel
0024d7	Intel
0024dc	Juniper
0024e9	Samsung
0024ef	Sony
0024f7	Cisco
0024f9	Cisco
0024fe	AVM (FRITZ!Box)
002500	Apple
002512	ZTE
00252e	Cisco
002531	Cisco
002538	Samsung
00253c	Pace
002545	Cisco
002546	Cisco
002547	Nokia
002548	Nokia
00254b	Apple
002550	Cisco
002566	Samsung
002567	Samsung
002568	Huawei
002569	Sagemcom
002583	Cisco
002584	Cisco
002586	TP-Link
00259c	Cisco
00259e	Huawei
0025ae	Microsoft
0025b4	Cisco
0025b5	Cisco
0025bc	Apple
0025c4	Ruckus
0025cf	Nokia
0025d0	Nokia
0025e5	LG
0025e7	Sony
0025f1	CommScope
0025f2	CommScope
002608	Apple
00260a	Cisco
00260b	Cisco
002618	ASUS
002624	Technicolor
002636	CommScope
002637	Samsung
00263b	Samsung
002641	CommScope
002642	CommScope
002644	Technicolor
00264a	Apple
002650	Pace
002651	Cisco
002652	Cisco
00265a	D-Link
00265b	Hitron
00265d	Samsung
00265f	Samsung
002662	Actiontec
002668	Nokia
002669	Nokia
002688	Juniper
002691	Sagemcom
002698	Cisco
002699	Cisco
0026b0	Apple
0026b8	Actiontec
0026ba	CommScope
0026bb	Apple
0026c6	Intel
0026c7	Intel
0026ca	Cisco
0026cb	Cisco
0026cc	Nokia
0026d9	CommScope
0026e2	LG
0026ed	ZTE
0026f2	Netgear
00270b	Cisco
00270c	Cisco
00270d	Cisco
00270e	Intel
002710	Intel
002719	TP-Link
002722	Ubiquiti
002790	Cisco
0027e3	Cisco
0028f8	Intel
0029c2	Cisco
002a10	Cisco
002a6a	Cisco
002b70	Samsung
002cc8	Cisco
002ec7	Huawei
002f5c	Cisco
003019	Cisco
003024	Cisco
003040	Cisco
003064	D-Link
003065	Apple
003071	Cisco
003078	Cisco
00307b	Cisco
003080	Cisco
003085	Cisco
003088	Ericsson
003094	Cisco
003096	Cisco
0030a3	Cisco
0030b6	Cisco
0030bd	Belkin
0030f2	Cisco
003126	Nokia
003146	Juniper
003192	TP-Link
003217	Cisco
003358	Ruckus
0034da	LG
0034fe	Huawei
00351a	Cisco
003676	CommScope
0037b7	Sagemcom
0038df	Cisco
003a7d	Cisco
003a98	Cisco
003a99	Cisco
003a9a	Cisco
003a9b	Cisco
003a9c	Cisco
003c10	Cisco
003de1	Huawei
003de8	LG
003ee1	Apple
00400b	Cisco
004020	CommScope
00402d	Arris
004043	Nokia
004096	Cisco
0041d2	Cisco
004238	Intel
00425a	Cisco
004268	Cisco
00451d	Cisco
00464b	Huawei
004a77	ZTE
004b0d	Huawei
004b12	Espressif
004f1a	Huawei
00500b	Cisco
00500f	Cisco
005014	Cisco
00502a	Cisco
00503e	Cisco
005050	Cisco
005053	Cisco
005054	Cisco
005073	Cisco
00507f	DrayTek
005080	Cisco
005094	CommScope
0050a2	Cisco
0050a7	Cisco
0050ba	D-Link
0050bd	Cisco
0050d1	Cisco
0050e2	Cisco
0050e3	CommScope
0050e4	Apple
0050f0	Cisco
0050f2	Microsoft
0050fc	Edimax
00562b	Cisco
00566d	Huawei
0056cd	Apple
0056f1	ZTE
0057c1	LG
0057d2	Cisco
00596c	Cisco
0059dc	Cisco
005a13	Huawei
005b94	Apple
005d73	Cisco
005f67	TP-Link
005f86	Cisco
006009	Cisco
00602f	Cisco
00603e	Cisco
006047	Cisco
00604c	Sagemcom
00605c	Cisco
006070	Cisco
006083	Cisco
006151	Huawei
006171	Apple
006201	Motorola
0062ec	Cisco
006440	Cisco
006619	Huawei
00664b	Huawei
00682b	Huawei
006b6f	Huawei
006bf1	Cisco
006cbc	Cisco
006d52	Apple
006f64	Samsung
007007	Espressif
007147	Amazon
007204	Samsung
007278	Cisco
0072ee	Intel
0073e0	Samsung
007686	Cisco
00778d	Cisco
0077e4	Nokia
007839	Nokia
007888	Cisco
00789e	Sagemcom
007c2d	Samsung
007d3b	Samsung
007d60	Apple
007e95	Cisco
007f28	Actiontec
00801b	Arris
008033	Tenda
008037	Ericsson
0080a4	Cisco
0080c8	D-Link
0080ee	Technicolor
00812a	Apple
0081c4	Cisco
008320	Huawei
00841e	Cisco Meraki
008621	Amazon
008701	Samsung
008731	Cisco
008764	Cisco
008865	Apple
0089c9	Extreme
008a55	Huawei
008a76	Apple
008a96	Cisco
008e73	Cisco
008ef2	Netgear
00900c	Cisco
00900e	D-Link
009021	Cisco
009027	Intel
00902b	Cisco
00905f	Cisco
009064	Technicolor
009069	Juniper
00906d	Cisco
00906f	Cisco
009081	Cisco
009086	Cisco
009092	Cisco
00909c	CommScope
0090a6	Cisco
0090ab	Cisco
0090b1	Cisco
0090bf	Cisco
0090d0	Technicolor
0090d9	Cisco
0090f2	Cisco
00919e	Intel
009235	Apple
009337	Intel
0094ec	Huawei
0097f1	Apple
00991d	Huawei
009acd	Huawei
009ad2	Cisco
009cc0	vivo
009e1e	Cisco
009ec8	Xiaomi
00a040	Apple
00a09d	Cisco
00a0c5	Zyxel
00a0c8	Adtran
00a0c9	Intel
00a159	LG
00a289	Cisco
00a2ee	Cisco
00a38e	Cisco
00a3d1	Cisco
00a45f	Huawei
00a554	Intel
00a5bf	Cisco
00a6ca	Cisco
00a742	Cisco
00a91d	Huawei
00aa00	Intel
00aa01	Intel
00aa02	Intel
00aa6e	Cisco
00aa70	LG
00ab48	Cisco
00ace0	CommScope
00ad24	D-Link
00add5	Huawei
00af1f	Cisco
00b04a	Cisco
00b064	Cisco
00b08e	Cisco
00b0c2	Cisco
00b0e1	Cisco
00b1e3	Cisco
00b362	Apple
00b5d0	Samsung
00b670	Cisco
00b771	Cisco
00b81d	Extreme
00b8b3	Cisco
00b8b6	Motorola
00bb1c	Huawei
00bb3a	Amazon
00bb60	Intel
00bc2f	Actiontec
00bc60	Cisco
00bd3a	Nokia
00be3b	Huawei
00be75	Cisco
00bf61	Samsung
00bf77	Cisco
00c0e1	Cisco
00c164	Cisco
00c1b1	Cisco
00c2c6	Intel
00c30a	Xiaomi
00c3f4	Samsung
00c52c	Juniper
00c585	Apple
00c610	Apple
00c88b	Cisco
00cae0	OPPO
00cae5	Cisco
00cb51	Sagemcom
00cb7a	Technicolor
00cc05	Huawei
00cc34	Juniper
00ccfc	Cisco
00cdfe	Apple
00d006	Cisco
00d037	CommScope
00d046	Cisco
00d058	Cisco
00d063	Cisco
00d079	Cisco
00d088	CommScope
00d090	Cisco
00d097	Cisco
00d09e	Pace
00d0ac	CommScope
00d0b7	Intel
00d0ba	Cisco
00d0bb	Cisco
00d0bc	Cisco
00d0c0	Cisco
00d0d3	Cisco
00d0e4	Cisco
00d0f6	Nokia
00d0ff	Cisco
00d49e	Intel
00d6fe	Cisco
00d76d	Intel
00d78f	Cisco
00d8a2	Huawei
00d9d1	Sony
